ARMOR,PHYS_DEF,STRIKE_DEF,SLASH_DEF,THRUST_DEF,MAG_DEF,FIRE_DEF,LITNG_DEF,POISE,BLEED_RES,POIS_RES,CURSE_RES,DURABILITY,WEIGHT,STAM_MOD,SOUND_MOD
Gauntlets of Thorns,26.0,24.7,28.3,26.0,16.0,18.0,12.0,9.0,16.0,10.0,0.0,250.0,6.2,0.0,1.0
Leggings of Thorns,26.0,24.7,28.3,26.0,16.0,18.0,12.0,9.0,16.0,10.0,0.0,250.0,6.2,0.0,1.0
Helm of Favor,18.0,17.1,20.9,18.0,10.0,11.0,7.0,8.0,11.0,8.0,8.0,500.0,4.5,0.0,1.0
Embraced Armor of Favor,48.0,45.6,55.7,48.0,23.0,30.0,19.0,20.0,28.0,22.0,22.0,500.0,11.7,0.0,1.5
Gauntlets of Favor,21.0,19.9,24.4,21.0,10.0,12.0,8.0,8.0,11.0,10.0,10.0,500.0,5.0,0.0,1.0
Leggings of Favor,28.0,26.6,32.5,28.0,14.0,18.0,11.0,11.0,15.0,14.0,14.0,500.0,6.9,0.0,1.0
Paladin Helm,22.0,20.9,25.3,22.0,12.0,13.0,7.0,8.0,13.0,9.0,22.0,500.0,5.0,-1.0,1.0
Paladin Armor,59.0,56.1,67.9,59.0,31.0,37.0,19.0,20.0,34.0,24.0,57.0,500.0,12.9,-1.0,1.5
Paladin Gauntlets,35.0,33.3,40.3,35.0,19.0,21.0,12.0,12.0,21.0,13.0,34.0,500.0,7.6,-1.0,1.0
Paladin Leggings,35.0,33.2,40.2,35.0,19.0,21.0,12.0,12.0,21.0,13.0,34.0,500.0,7.6,-1.0,1.0
Stone Helm,35.0,32.9,40.3,35.0,17.0,21.0,21.0,15.0,17.0,6.0,0.0,800.0,6.8,-1.0,1.0
Stone Armor,91.0,85.5,104.7,91.0,45.0,54.0,54.0,39.0,45.0,16.0,0.0,800.0,17.6,-2.0,1.5
Stone Gauntlets,54.0,50.8,62.1,54.0,27.0,33.0,33.0,23.0,27.0,10.0,0.0,800.0,10.4,-1.0,1.0
Stone Leggings,54.0,50.8,62.1,54.0,27.0,33.0,33.0,23.0,27.0,10.0,0.0,800.0,10.4,-1.0,1.0
Guardian Helm,41.0,38.5,47.1,41.0,23.0,19.0,23.0,15.0,17.0,6.0,0.0,800.0,7.2,-1.0,1.0
Guardian Armor,86.0,80.8,98.9,86.0,50.0,42.0,50.0,37.0,42.0,14.0,0.0,800.0,17.0,-2.0,1.5
Guardian Gauntlets,54.0,50.8,62.1,54.0,33.0,27.0,33.0,23.0,27.0,10.0,0.0,800.0,10.4,-1.0,1.0
Guardian Leggings,54.0,50.8,62.1,54.0,33.0,27.0,33.0,23.0,27.0,10.0,0.0,800.0,10.4,-1.0,1.0
Havel's Helm,36.0,30.6,41.4,36.0,22.0,22.0,18.0,18.0,18.0,4.0,9.0,900.0,7.5,-1.0,1.0
Havel's Armor,92.0,78.2,105.8,92.0,56.0,54.0,49.0,47.0,45.0,11.0,22.0,900.0,19.5,-2.0,1.5
Havel's Gauntlets,54.0,45.9,62.1,54.0,32.0,32.0,29.0,28.0,27.0,5.0,13.0,900.0,11.5,-1.0,1.0
Havel's Leggings,54.0,45.9,62.1,54.0,32.0,32.0,29.0,28.0,27.0,5.0,13.0,900.0,11.5,-1.0,1.0
Xanthous Crown,18.0,27.7,18.0,15.3,15.0,3.0,8.0,0.0,8.0,11.0,35.0,400.0,5.0,0.0,1.0
Xanthous Overcoat,32.0,35.8,32.0,29.1,37.0,7.0,23.0,0.0,22.0,29.0,0.0,400.0,3.9,0.0,1.0
Xanthous Gloves,18.0,20.2,18.0,16.4,22.0,4.0,14.0,0.0,12.0,18.0,0.0,400.0,2.3,0.0,1.0
Xanthous Waistcloth,32.0,35.8,32.0,29.1,39.0,7.0,23.0,0.0,22.0,30.0,0.0,400.0,4.0,0.0,1.0
Mask of the Father,6.0,6.0,6.0,6.0,10.0,6.0,8.0,0.0,6.0,0.0,0.0,200.0,1.2,0.0,1.0
Mask of the Mother,6.0,6.0,6.0,6.0,12.0,6.0,8.0,0.0,10.0,0.0,0.0,200.0,1.2,0.0,1.0
Mask of the Child,6.0,6.0,6.0,6.0,10.0,8.0,10.0,0.0,6.0,0.0,0.0,200.0,1.2,10.0,1.0
Royal Helm,16.0,13.9,16.0,16.0,10.0,10.0,6.0,8.0,16.0,12.0,0.0,500.0,4.5,0.0,1.0
Sack,6.0,10.0,6.0,5.0,6.0,8.0,4.0,0.0,12.0,10.0,0.0,150.0,0.6,0.0,1.0
Sunlight Maggot,6.0,6.0,6.0,6.0,5.0,24.0,13.0,0.0,0.0,0.0,0.0,80.0,1.4,0.0,1.0
Symbol of Avarice,21.0,10.9,21.0,21.0,8.0,2.0,2.0,15.0,10.0,0.0,0.0,300.0,10.0,-1.0,1.0
Bloated Head,17.0,17.0,17.0,17.0,17.0,9.0,11.0,0.0,16.0,32.0,10.0,150.0,2.5,0.0,1.0
Bloated Sorcerer Head,14.0,14.0,14.0,14.0,22.0,9.0,13.0,0.0,8.0,38.0,15.0,150.0,2.2,0.0,1.0
Gargoyle Helm,15.0,12.3,19.1,13.7,15.0,15.0,15.0,8.0,22.0,19.0,0.0,500.0,3.5,0.0,1.0
No Head,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,1.0
No Chest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,1.0
No Hands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,1.0
No Legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,1.0
